cord_uid,sha,source_x,title,doi,pmcid,pubmed_id,license,abstract,publish_time,authors,journal,url
uid_000000,sha_915836,Springer,treatment in the Context of respiratory disease,10.1688/covid.0,,94039431.0,cc-by-nc,This study investigates the diagnostic methods in patients with COVID-19. We analyzed 3503 cases and found significant results regarding important implications for treatment.,2020-03-12,"Garcia, Lisa; Brown, John; Smith, Mary; Davis, Jennifer; Smith, Robert; Garcia, Mary; Smith, Mary",JAMA,https://doi.org/10.5580/covid.0
uid_000001,sha_128870,Medline,coronavirus: A Study of outbreak,10.7163/covid.1,,74261157.0,cc-by,The clinical outcomes of SARS-CoV-2 remains poorly understood. This research examines 4655 samples to elucidate novel insights into disease progression.,2021-09-29,"Brown, Sarah; Jones, David; Davis, Sarah; Rodriguez, David; Garcia, Michael; Rodriguez, Lisa; Rodriguez, David; Brown, Robert",Vaccine,https://doi.org/10.2526/covid.1
uid_000002,sha_234331,Springer,transmission in the Context of viral infection,10.1275/covid.2,PMC1890186,81079576.0,no-cc,Objective: To assess disease severity during the COVID-19 pandemic. We present data from 742 cases showing improved patient outcomes.,2023-03-22,"Jones, Michael; Johnson, David; Jones, Mary; Martinez, Lisa; Jones, Mary; Garcia, David",PLOS ONE,https://doi.org/10.9444/covid.2
uid_000003,sha_833913,Springer,immunity and pandemic: A Comprehensive Review,10.5600/covid.3,PMC9794000,,no-cc,Background: Understanding clinical outcomes is crucial for pandemic response. Methods: We conducted a retrospective study with 4653 participants. Results: Our findings suggest significant correlations.,2023-05-31,"Rodriguez, David; Jones, Robert; Rodriguez, James; Miller, Jennifer; Brown, Jennifer; Brown, Mary; Davis, Robert",Nature Medicine,https://doi.org/10.6114/covid.3
uid_000004,sha_846477,PMC,Understanding viral infection: Implications for epidemiology,10.7925/covid.4,,63858972.0,cc0,Background: Understanding therapeutic interventions is crucial for pandemic response. Methods: We conducted a cross-sectional study with 4611 participants. Results: Our findings suggest novel insights into disease progression.,2023-05-07,"Garcia, David; Williams, Jennifer",JAMA,https://doi.org/10.1112/covid.4
uid_000005,sha_209939,Elsevier,Analysis of pandemic and outbreak,10.5241/covid.5,,71871100.0,cc-by,This study investigates the diagnostic methods in patients with COVID-19. We analyzed 4145 cases and found significant results regarding improved patient outcomes.,2020-10-08,"Davis, Mary; Smith, Lisa; Davis, Sarah; Martinez, David; Johnson, Michael; Johnson, John",Emerging Infectious Diseases,https://doi.org/10.6170/covid.5
uid_000006,sha_441610,CZI,Understanding immunity: Implications for treatment,10.6326/covid.6,PMC2843499,15733482.0,cc-by-nc,This study investigates the diagnostic methods in patients with COVID-19. We analyzed 1944 cases and found significant results regarding significant correlations.,2021-02-25,"Brown, James; Rodriguez, James; Rodriguez, John; Martinez, Lisa; Miller, James; Davis, Sarah; Smith, David; Smith, James",Clinical Infectious Diseases,https://doi.org/10.2748/covid.6
uid_000007,sha_931720,Springer,coronavirus and public health: A Comprehensive Review,10.4647/covid.7,PMC6972303,49107743.0,cc-by,Background: Understanding vaccine efficacy is crucial for pandemic response. Methods: We conducted a cross-sectional study with 3626 participants. Results: Our findings suggest novel insights into disease progression.,2020-11-12,"Davis, John; Miller, Lisa; Brown, Lisa",BMJ,https://doi.org/10.9882/covid.7
uid_000008,sha_489032,bioRxiv,pandemic in the Context of diagnosis,10.4273/covid.8,PMC8168484,58035923.0,cc-by,Background: Understanding immune response is crucial for pandemic response. Methods: We conducted a prospective study with 2237 participants. Results: Our findings suggest improved patient outcomes.,2021-08-08,"Martinez, Lisa; Brown, Jennifer",PLOS ONE,https://doi.org/10.8174/covid.8
uid_000009,sha_553091,Springer,public health and respiratory disease: A Comprehensive Review,10.7528/covid.9,,,cc0,The epidemiological patterns of SARS-CoV-2 remains poorly understood. This research examines 3503 samples to elucidate improved patient outcomes.,2020-07-14,"Jones, Robert; Rodriguez, Robert",PLOS ONE,https://doi.org/10.6896/covid.9
uid_000010,sha_541598,bioRxiv,Understanding immunity: Implications for public health,10.7715/covid.10,,89677840.0,cc-by-nc,Objective: To assess viral transmission dynamics during the COVID-19 pandemic. We present data from 2830 cases showing novel insights into disease progression.,2021-01-25,"Smith, Michael; Martinez, Robert; Johnson, Robert; Rodriguez, Michael",Clinical Infectious Diseases,https://doi.org/10.3343/covid.10
uid_000011,sha_117409,medRxiv,diagnosis: A Study of viral infection,10.9623/covid.11,PMC5261305,36198043.0,cc-by-nc,This study investigates the epidemiological patterns in patients with COVID-19. We analyzed 714 cases and found significant results regarding critical factors affecting recovery.,2021-07-04,"Williams, Jennifer; Williams, Mary; Williams, Mary; Davis, Sarah; Miller, Michael; Smith, John",Journal of Medical Virology,https://doi.org/10.5508/covid.11
uid_000012,sha_965977,bioRxiv,pandemic and SARS-CoV-2: A Comprehensive Review,10.9760/covid.12,PMC6313314,38261812.0,cc-by-nc,Objective: To assess viral transmission dynamics during the COVID-19 pandemic. We present data from 2540 cases showing important implications for treatment.,2023-11-01,"Miller, Lisa; Smith, James; Miller, David; Williams, James; Williams, Michael",Journal of Virology,https://doi.org/10.1442/covid.12
uid_000013,sha_995142,arXiv,outbreak: A Study of vaccine,10.4443/covid.13,PMC9200252,48510931.0,cc-by-nc,This study investigates the therapeutic interventions in patients with COVID-19. We analyzed 2830 cases and found significant results regarding novel insights into disease progression.,2020-09-18,"Smith, John; Garcia, James; Johnson, Michael; Smith, John; Williams, Emily; Johnson, James",JAMA,https://doi.org/10.8396/covid.13
uid_000014,sha_855298,medRxiv,treatment in the Context of public health,10.4109/covid.14,,43497613.0,no-cc,The immune response of SARS-CoV-2 remains poorly understood. This research examines 3987 samples to elucidate improved patient outcomes.,2023-11-30,"Smith, Lisa; Miller, Sarah; Smith, Sarah; Brown, Sarah; Brown, David; Garcia, David; Johnson, Sarah; Davis, Robert",Journal of Medical Virology,https://doi.org/10.1352/covid.14
uid_000015,sha_229675,WHO,COVID-19 and SARS-CoV-2: A Comprehensive Review,10.6106/covid.15,PMC8006605,,cc-by-nc,Background: Understanding viral transmission dynamics is crucial for pandemic response. Methods: We conducted a cross-sectional study with 3932 participants. Results: Our findings suggest important implications for treatment.,2020-01-29,"Davis, John; Johnson, John",New England Journal of Medicine,https://doi.org/10.8627/covid.15
uid_000016,sha_222338,Medline,Analysis of diagnosis and viral infection,10.4144/covid.16,PMC3034052,,no-cc,This study investigates the vaccine efficacy in patients with COVID-19. We analyzed 1476 cases and found significant results regarding improved patient outcomes.,2023-05-03,"Jones, Emily; Jones, Lisa; Miller, Mary; Rodriguez, Emily; Williams, John; Martinez, Mary; Miller, Lisa; Williams, David",JAMA,https://doi.org/10.8711/covid.16
uid_000017,sha_527772,Medline,viral infection: A Study of epidemiology,10.2183/covid.17,,32982041.0,no-cc,This study investigates the diagnostic methods in patients with COVID-19. We analyzed 1412 cases and found significant results regarding critical factors affecting recovery.,2022-11-24,"Rodriguez, Jennifer; Jones, Jennifer; Martinez, Jennifer; Davis, David; Miller, Mary; Jones, Lisa; Smith, Lisa; Davis, Lisa",Cell,https://doi.org/10.7676/covid.17
uid_000018,sha_753909,WHO,transmission in the Context of treatment,10.3236/covid.18,PMC2952256,57425089.0,no-cc,,2020-05-23,"Williams, Lisa; Williams, Lisa",The Lancet,https://doi.org/10.1134/covid.18
uid_000019,sha_322809,CZI,Analysis of transmission and diagnosis,10.8260/covid.19,PMC6431233,70029275.0,cc0,Objective: To assess prevention strategies during the COVID-19 pandemic. We present data from 4297 cases showing important implications for treatment.,2022-09-17,"Smith, Emily; Garcia, John; Garcia, Michael; Smith, Emily; Smith, David; Jones, John; Jones, Robert",Vaccine,https://doi.org/10.5724/covid.19
uid_000020,sha_160228,CZI,Understanding outbreak: Implications for vaccine,10.9526/covid.20,PMC4000760,,no-cc,This study investigates the clinical outcomes in patients with COVID-19. We analyzed 2926 cases and found significant results regarding significant correlations.,2020-02-27,"Rodriguez, David; Jones, Emily; Martinez, Jennifer; Garcia, Mary; Jones, Robert; Johnson, James",Virology,https://doi.org/10.2273/covid.20
uid_000021,sha_758174,medRxiv,transmission: A Study of diagnosis,10.2463/covid.21,,88612538.0,cc-by,Objective: To assess vaccine efficacy during the COVID-19 pandemic. We present data from 2106 cases showing significant correlations.,2020-07-23,"Smith, Emily; Smith, David",Cell,https://doi.org/10.3037/covid.21
uid_000022,sha_530045,arXiv,Analysis of diagnosis and respiratory disease,10.3972/covid.22,,19147362.0,cc-by-nc,Objective: To assess epidemiological patterns during the COVID-19 pandemic. We present data from 2806 cases showing novel insights into disease progression.,2021-07-31,"Miller, John; Garcia, Jennifer; Williams, David; Garcia, Emily",Vaccine,https://doi.org/10.2060/covid.22
uid_000023,sha_830337,arXiv,COVID-19 in the Context of clinical,10.9889/covid.23,PMC3624514,26189787.0,no-cc,This study investigates the vaccine efficacy in patients with COVID-19. We analyzed 3710 cases and found significant results regarding improved patient outcomes.,2020-10-07,"Brown, Jennifer; Brown, Emily; Garcia, David",The Lancet,https://doi.org/10.1207/covid.23
uid_000024,sha_106902,WHO,Understanding outbreak: Implications for treatment,10.6870/covid.24,PMC8606215,60627712.0,cc0,Objective: To assess therapeutic interventions during the COVID-19 pandemic. We present data from 1991 cases showing novel insights into disease progression.,2023-06-08,"Jones, Sarah; Rodriguez, Sarah; Miller, John",Nature Medicine,https://doi.org/10.7522/covid.24
uid_000025,sha_574391,WHO,pandemic: A Study of immunity,10.9851/covid.25,PMC8951970,37396506.0,no-cc,The therapeutic interventions of SARS-CoV-2 remains poorly understood. This research examines 2681 samples to elucidate significant correlations.,2023-03-07,"Martinez, Lisa; Garcia, Robert; Brown, Robert; Miller, Lisa",New England Journal of Medicine,https://doi.org/10.8992/covid.25
uid_000026,sha_995913,WHO,Analysis of respiratory disease and COVID-19,10.6277/covid.26,,,cc-by-nc,Background: Understanding immune response is crucial for pandemic response. Methods: We conducted a prospective study with 344 participants. Results: Our findings suggest improved patient outcomes.,2021-07-10,"Garcia, Michael; Martinez, James; Rodriguez, Robert; Martinez, Robert; Rodriguez, Emily; Williams, Mary; Rodriguez, David",Cell,https://doi.org/10.5118/covid.26
uid_000027,sha_355340,CZI,treatment and diagnosis: A Comprehensive Review,10.3065/covid.27,,63122903.0,no-cc,,2021-03-30,"Williams, Emily; Davis, Jennifer; Smith, David; Garcia, David; Davis, Michael; Garcia, Lisa",Nature Medicine,https://doi.org/10.5595/covid.27
uid_000028,sha_406574,arXiv,transmission and epidemiology: A Comprehensive Review,10.3826/covid.28,PMC3260059,22944350.0,no-cc,,2023-03-27,"Jones, Sarah; Williams, David; Williams, Mary; Rodriguez, Mary; Johnson, John; Williams, John; Davis, Robert",Nature Medicine,https://doi.org/10.2089/covid.28
uid_000029,sha_496639,Elsevier,Analysis of outbreak and coronavirus,10.8071/covid.29,,,cc-by,Background: Understanding immune response is crucial for pandemic response. Methods: We conducted a case-control study with 2201 participants. Results: Our findings suggest novel insights into disease progression.,2021-09-24,"Smith, Lisa; Garcia, Michael; Johnson, Sarah",JAMA,https://doi.org/10.1487/covid.29
uid_000030,sha_945208,Springer,SARS-CoV-2 in the Context of transmission,10.4603/covid.30,PMC6416674,18952790.0,cc-by-nc,Background: Understanding disease severity is crucial for pandemic response. Methods: We conducted a cohort study with 3112 participants. Results: Our findings suggest novel insights into disease progression.,2023-09-12,"Martinez, Lisa; Johnson, Robert; Jones, Robert; Davis, Sarah; Smith, Sarah; Miller, David; Jones, Emily; Brown, Lisa",New England Journal of Medicine,https://doi.org/10.3303/covid.30
uid_000031,sha_606788,Medline,Analysis of COVID-19 and public health,10.5835/covid.31,PMC2543407,55449434.0,cc-by-nc,Background: Understanding prevention strategies is crucial for pandemic response. Methods: We conducted a cross-sectional study with 1824 participants. Results: Our findings suggest critical factors affecting recovery.,2021-09-08,"Jones, Mary; Martinez, David; Jones, Mary; Johnson, Emily; Garcia, James",PLOS ONE,https://doi.org/10.6275/covid.31
uid_000032,sha_264597,Springer,respiratory disease in the Context of treatment,10.7887/covid.32,,72050959.0,cc0,The immune response of SARS-CoV-2 remains poorly understood. This research examines 1941 samples to elucidate critical factors affecting recovery.,2020-06-16,"Miller, Jennifer; Williams, Michael; Martinez, Lisa; Williams, Mary; Smith, Lisa; Johnson, Robert",Journal of Virology,https://doi.org/10.9526/covid.32
uid_000033,sha_517767,Springer,pandemic in the Context of epidemiology,10.4352/covid.33,,65860953.0,no-cc,The diagnostic methods of SARS-CoV-2 remains poorly understood. This research examines 1329 samples to elucidate improved patient outcomes.,2022-01-21,"Jones, Mary; Davis, Emily; Martinez, Sarah; Johnson, Emily; Brown, Mary; Rodriguez, Sarah",Science,https://doi.org/10.3993/covid.33
uid_000034,sha_497370,arXiv,SARS-CoV-2: A Study of coronavirus,10.6710/covid.34,PMC7043616,44414473.0,cc0,Background: Understanding vaccine efficacy is crucial for pandemic response. Methods: We conducted a cohort study with 160 participants. Results: Our findings suggest novel insights into disease progression.,2023-08-21,"Williams, Sarah; Brown, Mary; Garcia, Jennifer; Brown, Mary; Brown, Michael; Johnson, Robert; Johnson, Robert",Nature,https://doi.org/10.7371/covid.34
uid_000035,sha_706136,Medline,Understanding viral infection: Implications for SARS-CoV-2,10.8061/covid.35,PMC8576046,74726474.0,no-cc,This study investigates the disease severity in patients with COVID-19. We analyzed 2581 cases and found significant results regarding important implications for treatment.,2022-01-02,"Davis, Lisa; Smith, Sarah; Davis, Jennifer; Davis, John; Rodriguez, David; Garcia, John",Emerging Infectious Diseases,https://doi.org/10.4360/covid.35
